Name,Value,Description,Feature,UFUNCTION/UDELEGATE,UFUNCTION/UDELEGATE 1,USTRUCT
FUNC_Final,0x00000001,"Function is final (prebindable, non-overridable function).",Trait,SealedEvent (Specifier/UFUNCTIONea27c93c0d76/SealedEvent.md),,
FUNC_RequiredAPI,0x00000002,Indicates this function is DLL exported/imported.,Dll,,,
FUNC_BlueprintAuthorityOnly,0x00000004,Function will only run if the object has network authority,Network,BlueprintAuthorityOnly (Specifier/UFUNCTIONea27c93c0d76/BlueprintAuthorityOnly.md),,
FUNC_BlueprintCosmetic,0x00000008,Function is cosmetic in nature and should not be invoked on dedicated servers,Network,BlueprintCosmetic (Specifier/UFUNCTIONea27c93c0d76/BlueprintCosmetic.md),,
FUNC_Net,0x00000040,Function is network-replicated.,Network,"Client (Specifier/UFUNCTIONea27c93c0d76/Client.md), NetMulticast (Specifier/UFUNCTIONea27c93c0d76/NetMulticast.md), Server (Specifier/UFUNCTIONea27c93c0d76/Server.md), ServiceRequest (Specifier/UFUNCTIONea27c93c0d76/ServiceRequest.md), ServiceResponse (Specifier/UFUNCTIONea27c93c0d76/ServiceResponse.md)",,
FUNC_NetReliable,0x00000080,Function should be sent reliably on the network.,Network,"Reliable (Specifier/UFUNCTIONea27c93c0d76/Reliable.md), ServiceRequest (Specifier/UFUNCTIONea27c93c0d76/ServiceRequest.md), ServiceResponse (Specifier/UFUNCTIONea27c93c0d76/ServiceResponse.md)",,
FUNC_NetRequest,0x00000100,Function is sent to a net service,Network,ServiceRequest (Specifier/UFUNCTIONea27c93c0d76/ServiceRequest.md),,
FUNC_Exec,0x00000200,Executable from command line.,Trait,Exec (Specifier/UFUNCTIONea27c93c0d76/Exec.md),,
FUNC_Native,0x00000400,Native function.,Trait,BlueprintImplementableEvent (Specifier/UFUNCTIONea27c93c0d76/BlueprintImplementableEvent.md),,
FUNC_Event,0x00000800,Event function.,Trait,"BlueprintImplementableEvent (Specifier/UFUNCTIONea27c93c0d76/BlueprintImplementableEvent.md), BlueprintNativeEvent (Specifier/UFUNCTIONea27c93c0d76/BlueprintNativeEvent.md), ServiceRequest (Specifier/UFUNCTIONea27c93c0d76/ServiceRequest.md), ServiceResponse (Specifier/UFUNCTIONea27c93c0d76/ServiceResponse.md)",,
FUNC_NetResponse,0x00001000,Function response from a net service,Network,ServiceResponse (Specifier/UFUNCTIONea27c93c0d76/ServiceResponse.md),,
FUNC_Static,0x00002000,Static function.,,,,
FUNC_NetMulticast,0x00004000,Function is networked multicast Server -> All Clients,Network,NetMulticast (Specifier/UFUNCTIONea27c93c0d76/NetMulticast.md),,
FUNC_UbergraphFunction,0x00008000,"Function is used as the merge 'ubergraph' for a blueprint, only assigned when using the persistent 'ubergraph' frame",Blueprint,,,
FUNC_MulticastDelegate,0x00010000,Function is a multi-cast delegate signature (also requires FUNC_Delegate to be set!),Trait,,,
FUNC_Public,0x00020000,"Function is accessible in all classes (if overridden, parameters must remain unchanged).",Trait,,,
FUNC_Private,0x00040000,"Function is accessible only in the class it is defined in (cannot be overridden, but function name may be reused in subclasses. IOW: if overridden, parameters don't need to match, and Super.Func() cannot be accessed since it's private.)",Trait,,,
FUNC_Protected,0x00080000,"Function is accessible only in the class it is defined in and subclasses (if overridden, parameters much remain unchanged).",Trait,,,
FUNC_Delegate,0x00100000,"Function is delegate signature (either single-cast or multi-cast, depending on whether FUNC_MulticastDelegate is set.)",Trait,,,
FUNC_NetServer,0x00200000,Function is executed on servers (set by replication code if passes check),Network,Server (Specifier/UFUNCTIONea27c93c0d76/Server.md),,
FUNC_HasOutParms,0x00400000,function has out (pass by reference) parameters,Trait,,,
FUNC_HasDefaults,0x00800000,function has structs that contain defaults,Trait,,,HasDefaults (Specifier/USTRUCT/HasDefaults.md)
FUNC_NetClient,0x01000000,function is executed on clients,Network,Client (Specifier/UFUNCTIONea27c93c0d76/Client.md),,
FUNC_DLLImport,0x02000000,function is imported from a DLL,Dll,,,
FUNC_BlueprintCallable,0x04000000,function can be called from blueprint code,Blueprint,"BlueprintGetter (Specifier/UFUNCTIONea27c93c0d76/BlueprintGetter.md), BlueprintPure (Specifier/UFUNCTIONea27c93c0d76/BlueprintPure.md), BlueprintSetter (Specifier/UFUNCTIONea27c93c0d76/BlueprintSetter.md), BlueprintCallable (Specifier/UFUNCTIONea27c93c0d76/BlueprintCallable.md)",,
FUNC_BlueprintEvent,0x08000000,function can be overridden/implemented from a blueprint,Blueprint,"BlueprintImplementableEvent (Specifier/UFUNCTIONea27c93c0d76/BlueprintImplementableEvent.md), BlueprintNativeEvent (Specifier/UFUNCTIONea27c93c0d76/BlueprintNativeEvent.md)",,
FUNC_BlueprintPure,0x10000000,"function can be called from blueprint code, and is also pure (produces no side effects). If you set this, you should set FUNC_BlueprintCallable as well.",Blueprint,"BlueprintGetter (Specifier/UFUNCTIONea27c93c0d76/BlueprintGetter.md), BlueprintPure (Specifier/UFUNCTIONea27c93c0d76/BlueprintPure.md)",,
FUNC_EditorOnly,0x20000000,function can only be called from an editor scrippt.,Trait,,,
FUNC_Const,0x40000000,"function can be called from blueprint code, and only reads state (never writes state)",Trait,,,
FUNC_NetValidate,0x80000000,function must supply a _Validate implementation,Network,WithValidation (Specifier/UFUNCTIONea27c93c0d76/WithValidation.md),,
