Name,引擎模块,功能描述,常用程度
NoExport,UHT,指定UHT不要用来自动生成注册的代码，而只是进行词法分析提取元数据。,0
Intrinsic,UHT,指定UHT完全不为此类生成代码，需要自己手写。,0
Blueprintable,Blueprint,可以在蓝图里被继承，隐含的作用也可当变量类型,5
NotBlueprintable,Blueprint,不可在蓝图里继承，隐含作用也不可当作变量,4
BlueprintType,Blueprint,可当做变量类型,5
NotBlueprintType,Blueprint,不可当做变量类型,4
Abstract,Blueprint,指定此类为抽象基类。可被继承，但不可生成对象。,5
Const,Blueprint,表示本类的内部属性不可在蓝图中被修改，只读不可写。,3
MinimalAPI,DllExport,不dll导出该类的函数，只导出类型信息当作变量。,3
ClassGroup,"Category, Editor",指定组件在Actor的AddComponent面板里的分组，以及在蓝图右键菜单中的分组。,3
ShowCategories,Category,在类的ClassDefaults属性面板里显示某些Category的属性。,3
HideCategories,Category,在类的ClassDefaults属性面板里隐藏某些Category的属性。,4
CollapseCategories,Category,在类的属性面板里隐藏所有带Category的属性，但是只对带有多个嵌套Category的属性才起作用。,2
DontCollapseCategories,Category,使继承自基类的CollapseCatogories说明符无效。,2
AutoExpandCategories,Category,指定此类的对象在细节面板中应该自动展开的Category。,1
AutoCollapseCategories,Category,AutoCollapseCategories说明符使父类上的 AutoExpandCategories 说明符的列出类别的效果无效。,1
DontAutoCollapseCategories,Category,使列出的类别的继承自父类的AutoCollapseCategories说明符无效。,1
PrioritizeCategories,Category,把指定的属性目录优先显示在细节面板的前面。,3
ComponentWrapperClass,Category,指定该类为一个简单的封装类，忽略掉子类的Category相关设置。,2
AdvancedClassDisplay,Category,把该类下的所有属性都默认显示在高级目录下,4
HideDropDown,TypePicker,在类选择器中隐藏此类,2
ShowFunctions,Blueprint,在子类的函数覆盖列表里重新打开某些函数。,2
HideFunctions,Blueprint,在子类的函数覆盖列表里隐藏掉某些函数。,2
Deprecated,Development,标明该类已经弃用。,3
Experimental,Development,标明该类是试验性版本，当前没有文档描述，之后有可能废弃掉。,3
EarlyAccessPreview,Development,标明该类是早期预览版，比试验版要更完善一些，但还是没到产品级。,3
Within,Instance,指定对象创建的时候必须依赖于OuterClassName的对象作为Outer。,3
DefaultToInstanced,Instance,指定该类的所有实例属性都默认是UPROPERTY(instanced)，即都默认创建新的实例，而不是对对象的引用。,4
EditInlineNew,Instance,指定该类的对象可以在属性细节面板里直接内联创建，要和属性的Instanced配合。,5
NotEditInlineNew,Instance,不能通过EditInline按钮创建,1
NotPlaceable,Behavior,标明该Actor不可被放置在关卡里,3
Placeable,Scene,标明该Actor可以放置在关卡里。,3
UCLASS(),UHT,留空的默认行为是不能在蓝图中被继承，不能在蓝图中定义变量，但拥有反射的功能。,5
不写UCLASS(),UHT,只是作为一个普通的C++对象，没有反射功能。,1
ConversionRoot,Scene,在场景编辑器里允许Actor在自身以及子类之间做转换,1
SparseClassDataType,Blueprint,让Actor的一些重复不变的数据存放在一个共同的结构里，以达到减少内容使用量的目的,3
Config,Config,指定配置文件的名字，把该对象的值保存到ini配置文件中。,5
PerObjectConfig,Config,在已经有config配置文件名字的情况下，指定应该按每个对象实例来存储值，而不是一个类一个存储值。,5
ConfigDoNotCheckDefaults,Config,指定在保存配置值的时候忽略上一级的配置值的一致性检查。,1
DefaultConfig,Config,指定保存到的配置文件层级是Project/Config/DefaultXXX.ini。,3
GlobalUserConfig,Config,指定保存到的配置文件层级是全局用户设置 Engine/Config/UserXXX.ini。,3
ProjectUserConfig,Config,指定保存到的配置文件层级是项目用户设置 Project/Config/UserXXX.ini。,3
EditorConfig,"Config, Editor",用来在编辑器状态下保存信息。,1
Transient,Serialization,指定该类的所有对象都略过序列化。,3
NonTransient,Serialization,使继承自基类的Transient说明符无效。,3
Optional,Serialization,标记该类的对象是可选的，在Cooking的时候可以选择是否要忽略保存它们。,1
CustomThunkTemplates,UHT,Specifies the struct that contains the CustomThunk implementations,
CustomConstructor,UHT,阻止构造函数声明自动生成。,
CustomFieldNotify,UHT,阻止UHT为该类生成FieldNotify的相关代码。,0
NeedsDeferredDependencyLoading,Blueprint,,
MatchedSerializers,Serialization,指定类支持文本结构序列化,0
Interface,UHT,标识这个Class是个Interface。,0
