Name,Status,Type,Feature,LimitedType,Description,+=EFunctionFlags,&=~EFunctionFlags,MetaOperation,Meta,Example,Code
Category,Done,strings=“a|b|c”,Editor,,右键蓝图节点中为函数指定类别，可以嵌套多级,,,=X,Category (../Meta/Meta/Category.csv),"Category = ""TopCategory|SubCategory|Etc”",
CallInEditor,Done,bool,Editor,,可以在Actor的细节面板上作为一个按钮来调用该函数。,,,=true,CallInEditor (../Meta/Meta/CallInEditor.csv),,
BlueprintCallable,Done,bool,Blueprint,,暴露到蓝图中可被调用,FUNC_BlueprintCallable (../Flags/EFunctionFlags/FUNC_BlueprintCallable.csv),,,,,
BlueprintPure,Done,bool,Blueprint,,此函数不对拥有它的对象产生任何影响，可在 蓝图 或 关卡蓝图 图表中执行。,"FUNC_BlueprintCallable (../Flags/EFunctionFlags/FUNC_BlueprintCallable.csv), FUNC_BlueprintPure (../Flags/EFunctionFlags/FUNC_BlueprintPure.csv)",,,,,
BlueprintImplementableEvent,Done,bool,Blueprint,,指定一个函数调用点，可以在蓝图中重载实现。,"FUNC_Event (../Flags/EFunctionFlags/FUNC_Event.csv), FUNC_Native (../Flags/EFunctionFlags/FUNC_Native.csv), FUNC_BlueprintEvent (../Flags/EFunctionFlags/FUNC_BlueprintEvent.csv)",,,,,
BlueprintNativeEvent,Done,bool,Blueprint,,可以在蓝图总重载实现，当时也在C++中提供一个默认实现。,"FUNC_Event (../Flags/EFunctionFlags/FUNC_Event.csv), FUNC_BlueprintEvent (../Flags/EFunctionFlags/FUNC_BlueprintEvent.csv)",,,,,
BlueprintGetter,Done,bool,Blueprint,,此函数将被用作蓝图公开属性的访问器。此说明符隐含BlueprintPure和BlueprintCallable。该函数是用来当做属性的Get函数的。隐含着BlueprintPure,"FUNC_BlueprintCallable (../Flags/EFunctionFlags/FUNC_BlueprintCallable.csv), FUNC_BlueprintPure (../Flags/EFunctionFlags/FUNC_BlueprintPure.csv)",,=””,BlueprintGetter (../Meta/Meta/BlueprintGetter.csv),,
BlueprintSetter,Done,bool,Blueprint,,此函数将被用作蓝图公开属性的赋值函数。此说明符暗含 BlueprintCallable。该函数是用来当做属性的Set函数的。隐含着BlueprintCallable,FUNC_BlueprintCallable (../Flags/EFunctionFlags/FUNC_BlueprintCallable.csv),,=””,BlueprintSetter (../Meta/Meta/BlueprintSetter.csv),,
Exec,Done,bool,Behavior,特定的几个类,在特定类里注册一个函数为控制台命令，允许接受参数。,FUNC_Exec (../Flags/EFunctionFlags/FUNC_Exec.csv),,,,,
BlueprintAuthorityOnly,Done,bool,Network,,这个函数只能在拥有网络权限的端上运行。,FUNC_BlueprintAuthorityOnly (../Flags/EFunctionFlags/FUNC_BlueprintAuthorityOnly.csv),,,,,
BlueprintCosmetic,Done,bool,Network,,此函数为修饰性的，无法在DS上运行。,FUNC_BlueprintCosmetic (../Flags/EFunctionFlags/FUNC_BlueprintCosmetic.csv),,,,,
Client,Done,bool,Network,,在Client-owned的Actor上（其实就是PlayerController）执行一个RPC函数，只运行在客户端上。对应的实现函数会添加_Implementation后缀。一般用于从Server发送一个RPC到Client,"FUNC_Net (../Flags/EFunctionFlags/FUNC_Net.csv), FUNC_NetClient (../Flags/EFunctionFlags/FUNC_NetClient.csv)",,,,,
Server,Done,bool,Network,,在Client-owned的Actor上（PlayerController或Pawn）执行一个RPC函数，只运行在服务器上。对应的实现函数会添加_Implementation后缀,"FUNC_Net (../Flags/EFunctionFlags/FUNC_Net.csv), FUNC_NetServer (../Flags/EFunctionFlags/FUNC_NetServer.csv)",,,,,
NetMulticast,Done,bool,Network,,此函数将在服务器上本地执行，也将复制到所有客户端上，无论该Actor的 NetOwner 为何。网络间广播。,"FUNC_Net (../Flags/EFunctionFlags/FUNC_Net.csv), FUNC_NetMulticast (../Flags/EFunctionFlags/FUNC_NetMulticast.csv)",,,,,
Reliable,Done,bool,Network,,指定一个RPC函数为“可靠的”，当遇见网络错误时会重发以保证到达。一般用在逻辑关键的函数上。,FUNC_NetReliable (../Flags/EFunctionFlags/FUNC_NetReliable.csv),,,,,
Unreliable,Done,bool,Network,,指定一个RPC函数为“不可靠的”，当遇见网络错误时就会被丢弃。一般用在传播效果表现的函数上，就算漏掉也没有关系。,,,,,,
WithValidation,Done,bool,Network,,指定一个RPC函数在执行前需要验证，只有验证通过才可以执行。,FUNC_NetValidate (../Flags/EFunctionFlags/FUNC_NetValidate.csv),,,,,
ServiceRequest,Invalid,bool,Network,,此函数为RPC（远程过程调用）服务请求。rpc服务请求,"FUNC_Net (../Flags/EFunctionFlags/FUNC_Net.csv), FUNC_Event (../Flags/EFunctionFlags/FUNC_Event.csv), FUNC_NetReliable (../Flags/EFunctionFlags/FUNC_NetReliable.csv), FUNC_NetRequest (../Flags/EFunctionFlags/FUNC_NetRequest.csv)",,=true,CustomThunk (../Meta/Meta/CustomThunk.csv),,
ServiceResponse,Invalid,bool,Network,,此函数为RPC服务响应。rpc服务回复,"FUNC_Net (../Flags/EFunctionFlags/FUNC_Net.csv), FUNC_Event (../Flags/EFunctionFlags/FUNC_Event.csv), FUNC_NetReliable (../Flags/EFunctionFlags/FUNC_NetReliable.csv), FUNC_NetResponse (../Flags/EFunctionFlags/FUNC_NetResponse.csv)",,,,,
BlueprintInternalUseOnly,Done,bool,"Blueprint, UHT",,指示不应向最终用户公开此函数。蓝图内部调用，不暴露给终端用户。。。,,,=true,"BlueprintInternalUseOnly (../Meta/Meta/BlueprintInternalUseOnly.csv), BlueprintType (../Meta/Meta/BlueprintType.csv)",,
CustomThunk,Done,bool,UHT,,指定UHT不为该函数生成蓝图调用的辅助函数，而需要用户自定义编写。,,,=true,CustomThunk (../Meta/Meta/CustomThunk.csv),,
SealedEvent,Invalid,bool,Behavior,,无法在子类中覆盖此函数。SealedEvent关键词只能用于事件。对于非事件函数，请将它们声明为static或final，以密封它们。,FUNC_Final (../Flags/EFunctionFlags/FUNC_Final.csv),,,,,
Variadic,Done,bool,"Blueprint, UHT",,标识一个函数可以接受任意类型的多个参数（包括input/output)．,,,＝””,Variadic (../Meta/Meta/Variadic.csv),,
FieldNotify,Done,bool,UHT,ViewModel里的函数,为该函数创建一个FieldNotify的绑定点。,,,,,,
